source,target,weight
D078_M,D145_M,0.6961444502292102
D145_M,D078_M,0.6961444502292102
D033_M,D066_M,0.5661452058659387
D066_M,D033_M,0.5661452058659387
D066_M,D039_M,0.5440890276424243
D039_M,D066_M,0.5440890276424243
D033_M,D058_M,0.5429694577623972
D058_M,D033_M,0.5429694577623972
D042_M,D033_M,0.535865669795243
D033_M,D042_M,0.535865669795243
D039_M,D033_M,0.5322246518253809
D033_M,D039_M,0.5322246518253809
D066_M,D042_M,0.5321896301642121
D042_M,D066_M,0.5321896301642121
D064_M,D066_M,0.5282361558830324
D066_M,D064_M,0.5282361558830324
D039_M,D042_M,0.5263958268576842
D042_M,D039_M,0.5263958268576842
D086_M,D066_M,0.5123693355666996
D066_M,D086_M,0.5123693355666996
D132_M,D066_M,0.5097829942761289
D066_M,D132_M,0.5097829942761289
D064_M,D039_M,0.5060930977156806
D039_M,D064_M,0.5060930977156806
D042_M,D058_M,0.5060455024653003
D058_M,D042_M,0.5060455024653003
D129_M,D039_M,0.5019990570540195
D039_M,D129_M,0.5019990570540195
D033_M,D049_M,0.5015430293926555
D049_M,D033_M,0.5015430293926555
